chart,series,category,lower,central,upper
Denominator ladder,App,A. All listed apps,0.31055651747177354,0.9800557054831217,2.7438196087454645
Denominator ladder,App,B. Active apps,1.6005538216736794,3.2544896962596312,5.982105582648006
Denominator ladder,App,C. Active monetized apps,4.352664812026922,7.680061725552447,12.37757974169325
Denominator ladder,App,D. Independently owned active apps,2.3966056903858997,4.495170541416897,7.880472448989749
Denominator ladder,App,E. Serious commercial attempts,5.255374669490444,10.232853764617298,17.43522965752049
Denominator ladder,App,F. Maintained for at least 12 months,6.205241707741573,12.259265380172229,21.399355336536523
Denominator ladder,Developer,A. All listed apps,0.517505074569171,1.5483980892646525,4.244774566648625
Denominator ladder,Developer,B. Active apps,2.5884410695639075,5.092743632089356,9.16109753807435
Denominator ladder,Developer,C. Active monetized apps,6.834353398615692,11.668873738021937,18.25090782886103
Denominator ladder,Developer,D. Independently owned active apps,3.8854916726234756,7.038230780992999,11.99510318183512
Denominator ladder,Developer,E. Serious commercial attempts,8.360258897371144,15.408261737906557,25.019874900428572
Denominator ladder,Developer,F. Maintained for at least 12 months,9.796952614982061,18.205714683553488,29.965280883215144
Threshold survival,App,Any revenue,67.85,77.72,87.27000000000001
Threshold survival,Developer,Any revenue,76.59,85.88,94.26
Threshold survival,App,$100/month,35.23,46.51,58.53
Threshold survival,Developer,$100/month,44.529999999999994,56.79,68.97999999999999
Threshold survival,App,"$1,000/month",5.255374669490444,10.232853764617298,17.43522965752049
Threshold survival,Developer,"$1,000/month",8.360258897371144,15.408261737906557,25.019874900428572
Threshold survival,App,"$5,000/month",2.33,4.25,6.77
Threshold survival,Developer,"$5,000/month",3.73,6.529999999999999,10.36
Threshold survival,App,"$10,000/month",1.5699999999999998,2.92,4.6899999999999995
Threshold survival,Developer,"$10,000/month",2.5,4.49,7.24
Threshold survival,App,"$25,000/month",0.5499999999999999,1.1199999999999999,1.96
Threshold survival,Developer,"$25,000/month",0.885,1.728,3.036
Threshold survival,App,"$100,000/month",0.07100000000000001,0.242,0.52
Threshold survival,Developer,"$100,000/month",0.11900000000000001,0.368,0.792
Threshold survival,App,Full-time replacement income,1.27,2.98,5.319999999999999
Threshold survival,Developer,Full-time replacement income,2.17,4.67,8.17
